Complexity,Loss,Equation
1,2.937618,"2.0789373"
2,2.200583,"log(x4)"
3,1.5874867,"(0.37803763 * x4)"
4,0.88114405,"(log(x4) * x1)"
5,0.63459295,"(0.30237922 * (x4 * x1))"
6,0.6345929,"((sin(0.30719325) * x1) * x4)"
7,0.29878297,"(((x4 * x1) * x2) * 0.039796166)"
8,0.022249889,"(((x4 * log(x2)) * 0.16729787) * x1)"
9,0.01837163,"((sin(log(x2) * 0.17128594) * x1) * x4)"
10,0.015222631,"((sin(sin(log(x2) * 0.17534734)) * x1) * x4)"
11,0.009910667,"((x4 * (log(x2) + inv(x3))) * (0.14179823 * x1))"
12,0.008744149,"((x4 * log((x2 / x3) + x2)) * (0.1451539 * x1))"
13,0.0049275993,"((x4 * (log(x2 - 0.27341038) + inv(x3))) * (0.1451539 * x1))"
14,0.0049236068,"((x4 * (log(x2 - cos(1.2847339)) + inv(x3))) * (0.1451539 * x1))"
15,0.004280554,"((x4 * log(log(x2 / (x3 / x2)) + x2)) * (0.1451539 * x1))"
16,0.0029065262,"((x4 * (log((x2 - inv(x2)) - -0.2437399) + inv(x3))) * (0.14179823 * x1))"
