Complexity,Loss,Equation
1,0.009555042,"0.18438"
3,0.0062157065,"(0.22341281 * x1)"
5,0.0036087073,"(x1 / (7.604973 - x2))"
6,0.0035881463,"((-0.4218565 * cos(x2)) * x1)"
7,0.001212747,"((x1 / (7.604973 - x2)) * x5)"
8,0.0011909521,"(((-0.4218565 * cos(x2)) * x1) * x5)"
9,0.0004531275,"((x5 / ((5.8687024 - x2) + x3)) * x1)"
10,0.0003375953,"((x1 / ((x3 + 2.914757) / log(x2))) * x5)"
11,3.8166476e-5,"(((0.05741322 * (x2 + exp(cos(x3)))) * x1) * x5)"
12,1.2184e-5,"(((0.05980184 * ((x2 - -1.0239378) + cos(x3))) * x1) * x5)"
13,1.0443911e-5,"((sin(0.06130993 * ((x2 + cos(x3)) + 0.97695625)) * x1) * x5)"
14,7.429339e-6,"(((0.06111051 * (x2 + (cos(x3 * 1.0680424) + 1.0051177))) * x1) * x5)"
15,4.3330915e-6,"((sin(0.061827507 * (x2 + (cos(x3 * 1.0680424) + 1.0051177))) * x1) * x5)"
16,4.0046825e-6,"((sin(sin(0.064907774 * ((x2 + cos(x3 * -1.0640466)) + 0.87165904))) * x1) * x5)"
17,2.4279552e-6,"((sin(sin(sin(0.064907774 * ((x2 + cos(x3 * -1.0640466)) + 0.89586824)))) * x1) * x5)"
19,1.5680655e-6,"(((sin(sin(sin(0.064907774 * ((x2 + cos(x3 * -1.0640466)) + 0.89586824)))) * x1) * 1.0051177) * x5)"
